	en	fr	es	el	it	ar	de	ja	hu	pt	hr	sl	rs
synthetic_image_detection_multi_bfree-dino2reg4_grip_warning	Use with caution. While new veraai.eu synthetic image detection models outperformed previous ones in several fact-checks, some errors or false positives (<6%) have still been noted during extensive testing. If you are uncertain, use the feedback button to ask for guidance.	À utiliser avec prudence. Bien que les nouveaux modèles de détection d’images synthétiques de veraai.eu aient surpassé les précédents dans plusieurs vérifications de faits, certaines erreurs ou faux positifs (<6 %) ont encore été observés lors de tests approfondis. En cas de doute, utilisez le bouton de feedback pour demander des conseils.	Usar con precaución. Aunque los nuevos modelos de detección de imágenes sintéticas de veraai.eu superaron a los anteriores en varias verificaciones de hechos, todavía se han observado algunos errores o falsos positivos (<6%) durante las pruebas exhaustivas. Si tiene dudas, utilice el botón de comentarios para pedir orientación.	Χρησιμοποιήστε με προσοχή. Αν και τα νέα μοντέλα ανίχνευσης συνθετικών εικόνων του veraai.eu ξεπέρασαν τα προηγούμενα σε πολλές επαληθεύσεις γεγονότων, έχουν σημειωθεί ορισμένα σφάλματα ή ψευδώς θετικά (<6%) κατά τη διάρκεια εκτεταμένων δοκιμών. Εάν δεν είστε βέβαιοι, χρησιμοποιήστε το κουμπί σχολίων για να ζητήσετε καθοδήγηση.	Usare con cautela. Sebbene i nuovi modelli di rilevamento di immagini sintetiche di veraai.eu abbiano superato i precedenti in diverse verifiche dei fatti, alcuni errori o falsi positivi (<6%) sono stati comunque rilevati durante test approfonditi. In caso di incertezza, utilizzare il pulsante di feedback per chiedere indicazioni.	استخدم بحذر. على الرغم من أن نماذج اكتشاف الصور الاصطناعية الجديدة من veraai.eu تفوقت على النماذج السابقة في عدة عمليات تحقق من الحقائق، إلا أنه تم ملاحظة بعض الأخطاء أو الإيجابيات الكاذبة (<6%) أثناء الاختبارات المكثفة. إذا لم تكن متأكدًا، استخدم زر الملاحظات لطلب التوجيه.	Mit Vorsicht verwenden. Obwohl die neuen Modelle von veraai.eu zur Erkennung synthetischer Bilder die früheren in mehreren Faktenchecks übertroffen haben, wurden bei umfangreichen Tests immer noch einige Fehler oder Fehlalarme (<6%) festgestellt. Wenn Sie unsicher sind, verwenden Sie die Feedback-Schaltfläche, um um Anleitung zu bitten.	注意して使用してください。veraai.euの新しい合成画像検出モデルは、いくつかのファクトチェックで以前のモデルを上回る性能を発揮しましたが、広範なテスト中にいくつかのエラーや誤検知（6％未満）が依然として認められています。不明な場合は、フィードバックボタンを使用してガイダンスを求めてください。	Óvatosan használja. Bár az új veraai.eu szintetikus képészlelési modellek számos tényellenőrzésben felülmúlták az előzőeket, a kiterjedt tesztelés során még mindig észleltek néhány hibát vagy hamis pozitív eredményt (<6%). Ha bizonytalan, tesztelje a kép más másolataival, és használja a visszajelzés gombot útmutatás kéréséhez.	Use com cautela. Embora os novos modelos de detecção de imagens sintéticas de veraai.eu tenham superado os anteriores em várias verificações de fatos, alguns erros ou falsos positivos (<6%) ainda foram observados durante testes extensivos. Se você não tiver certeza, use o botão de feedback para pedir orientação.	Koristite s oprezom. Iako su novi veraai.eu modeli za detekciju sintetičkih slika nadmašili prethodne u nekoliko provjera činjenica, još uvijek su zabilježene neke pogreške ili lažno pozitivni rezultati (<6%) tijekom opsežnog testiranja. Ako niste sigurni, koristite gumb za povratne informacije da biste zatražili smjernice.	Uporabljajte previdno. Čeprav so novi modeli zaznavanja sintetičnih slik veraai.eu presegli prejšnje v več preverjanjih dejstev, so bile med obsežnim testiranjem še vedno opažene nekatere napake ali lažno pozitivni rezultati (<6%). Če niste prepričani, preizkusite z drugimi kopijami slike in uporabite gumb za povratne informacije, da zaprosite za navodila.	Koristite s oprezom. Iako su novi veraai.eu modeli za detekciju sintetičkih slika nadmašili prethodne u nekoliko provjera činjenica, još uvijek su zabilježene neke pogreške ili lažno pozitivni rezultati (<6%) tijekom opsežnog testiranja. Ako niste sigurni, koristite gumb za povratne informacije da biste zatražili smjernice.
synthetic_image_detection_sd21_bfree-siglip_grip_name	B-Free (SigLIP)	B-Free (SigLIP)	B-Free (SigLIP)	B-Free (SigLIP)	B-Free (SigLIP)	B-Free (SigLIP)	B-Free (SigLIP)	B-Free (SigLIP)	B-Free (SigLIP)	B-Free (SigLIP)	B-Free (SigLIP)	B-Free (SigLIP)	B-Free (SigLIP)
synthetic_image_detection_sd21_bfree-siglip_grip_description	"Earlier implementation of ""B-Free"". It employs a different architecture, achieving slightly lower performance compared to the current implementation."	"Ancienne implémentation de ""B-Free"". Elle utilise une architecture différente, obtenant des performances légèrement inférieures par rapport à l’implémentation actuelle."	"Implementación anterior de ""B-Free"". Emplea una arquitectura diferente, logrando un rendimiento ligeramente inferior en comparación con la implementación actual."	"Προηγούμενη υλοποίηση του ""B-Free"". Χρησιμοποιεί διαφορετική αρχιτεκτονική, επιτυγχάνοντας ελαφρώς χαμηλότερη απόδοση σε σύγκριση με την τρέχουσα υλοποίηση."	"Implementazione precedente di ""B-Free"". Utilizza un’architettura diversa, ottenendo prestazioni leggermente inferiori rispetto all’implementazione attuale."	"التنفيذ السابق لـ ""B-Free"". يستخدم بنية مختلفة، محققاً أداءً أقل قليلاً مقارنةً بالتنفيذ الحالي."	"Frühere Implementierung von ""B-Free"". Sie verwendet eine andere Architektur und erzielt leicht geringere Leistungen im Vergleich zur aktuellen Implementierung."	「B-Free」の以前の実装。異なるアーキテクチャを採用しており、現在の実装と比べてやや低い性能を達成しています。	A B-Free korábbi implementációja. Más architektúrát használ, és kissé alacsonyabb teljesítményt ér el a jelenlegi implementációhoz képest.	"Implementação anterior do ""B-Free"". Emprega uma arquitetura diferente, alcançando um desempenho ligeiramente inferior em comparação com a implementação atual."	"Ranija implementacija ""B-Free"". Koristi drugačiju arhitekturu, postižući nešto niže performanse u usporedbi s trenutnom implementacijom."	"Prejšnja implementacija ""B-Free"". Uporablja drugačno arhitekturo, ki dosega nekoliko nižjo zmogljivost v primerjavi s trenutno implementacijo."	"Ranija implementacija ""B-Free"". Koristi drugačiju arhitekturu, postižući nešto niže performanse u usporedbi s trenutnom implementacijom."
synthetic_image_detection_alert	This image has been detected as generated with a	Cette image a été détectée comme générée avec un	Esta imagen ha sido detectada como generada con un	Αυτή η εικόνα έχει εντοπιστεί ότι δημιουργήθηκε με α	Questa immagine è stata rilevata come generata con a	تم اكتشاف هذه الصورة على أنها إنشاؤها باستخدام ملف تم	Dieses Bild wurde als erzeugt mit a erkannt	この画像は、次の手法で生成されたものとして検出されました。	Ez a képet a következő algoritmussal generáltnak észlelték	Esta imagem foi detectada como gerada com um	Ova slika je detektirana kao generirana s	Ta slika je bila zaznana kot ustvarjena z	Ova slika je detektirana kao generirana s
synthetic_image_detection_alert_2	algorithm	algorithmique	algorítmico	algorithm	algoritmo	خوارزمية	Algorithmus	アルゴリズム	algoritmus	algoritmo	algoritmom	algoritmom	algoritmom
synthetic_image_detection_error_400	Error: Invalid image link. Ensure it points to a publicly accessible image with dimensions between 128x128 and 2M000x2000 pixels.	Erreur : Lien d'image invalide. Assurez-vous qu'il pointe vers une image accessible publiquement avec des dimensions entre 128x128 et 2Mpx.	Error: Enlace de imagen no válido. Asegúrate de que apunte a una imagen accesible públicamente con dimensiones entre 128x128 y 2Mpx.	Σφάλμα: Άκυρος σύνδεσμος εικόνας. Βεβαιωθείτε ότι δείχνει προς μια δημόσια προσβάσιμη εικόνα με διαστάσεις από 128x128 έως 2Mpx.	Errore: collegamento immagine non valido. Assicurati che rimandi a un'immagine accessibile pubblicamente con dimensioni comprese tra 128x128 e 2Mpx.	خطأ: رابط الصورة غير صالح. تأكد من أنه يشير إلى صورة متاحة علنياً بأبعاد تتراوح بين 128x128 وx2Mpx بكسل.	Fehler: Ungültiger Bildverbindung. Stellen Sie sicher, dass es auf ein öffentlich zugängliches Bild mit Abmessungen zwischen 128x128 und 2Mpx zeigt.	エラー: 無効な画像リンクです。 128x128 から 2M000x2000 ピクセルの範囲の、公的にアクセス可能な画像を指定していることを確認してください。	Hiba: Érvénytelen képlink. Győződjön meg arról, hogy nyilvánosan elérhető képre mutat, amelynek mérete 128x128 és 2000x2000 pixel között van.	Erro: Link de imagem inválido. Certifique-se de que ele aponta para uma imagem publicamente acessível com dimensões entre 128x128 e 2Mpx.	Pogreška: Nevažeća veza slike. Provjerite da upućuje na javno dostupnu sliku dimenzija između 128x128 i 2M000x2000 piksela.	Napaka: Neveljavna povezava do slike. Prepričajte se, da kaže na javno dostopno sliko z dimenzijami med 128x128 in 2Mpx.	Pogreška: Nevažeća veza slike. Provjerite da upućuje na javno dostupnu sliku dimenzija između 128x128 i 2M000x2000 piksela.
synthetic_image_detection_error_generic	An error happened. Please try again or try a different image	Une erreur s'est produite. Veuillez réessayer ou essayer une image différente.	Se produjo un error. Por favor, inténtalo de nuevo o prueba con una imagen diferente.	Προέκυψε ένα σφάλμα. Παρακαλώ δοκιμάστε ξανά ή δοκιράστε μια διαφορετική εικόνα.	Si è verificato un errore. Riprova o prova con un'immagine diversa	حدث خطأ. يرجى المحاولة مرة أخرى أو جرب صورة مختلفة.	Ein Fehler trat auf. Bitte versuchen Sie es erneut oder probieren Sie ein anderes Bild aus	エラーが発生しました。もう一度試すか、別の画像を試してください	Hiba történt. Kérjük, próbálja újra, vagy próbáljon ki egy másik képet	Ocorreu um erro. Por favor, tente novamente ou experimente uma imagem diferente.	Došlo je do pogreške. Pokušajte ponovno ili pokušajte s drugom slikom.	Prišlo je do napake. Poskusite znova ali poskusite z drugo sliko.	Došlo je do pogreške. Pokušajte ponovno ili pokušajte s drugom slikom.
synthetic_image_detection_algorithms_errors	One or more algorithms returned errors. The analysis may be incomplete. Make sure the image has dimensions between 128x128 and 2Mpx.	Un ou plusieurs algorithmes ont renvoyé des erreurs. L'analyse peut être incomplète. Assurez-vous que l'image a des dimensions comprises entre 128x128 et 2Mpx.	Uno o más algoritmos devolvieron errores. El análisis puede estar incompleto. Asegúrese de que la imagen tenga dimensiones entre 128x128 y 2Mpx.	Ένας ή περισσότεροι αλγόριθμοι επέστρεψαν σφάλματα. Η ανάλυση μπορεί να είναι ατελής. Βεβαιωθείτε ότι η εικόνα έχει διαστάσεις μεταξύ 128x128 και 2Mpx.	Uno o più algoritmi hanno restituito errori. L'analisi potrebbe essere incompleta. Assicurati che l'immagine abbia dimensioni comprese tra 128x128 e 2Mpx.	أحد أو أكثر من الخوارزميات قد عادت بأخطاء. قد تكون التحليلات غير مكتملة. تأكد من أن الصورة لها أبعاد بين 128x128 و 2000x2Mpx000 بكسل.	Einer oder mehrere Algorithmen haben Fehler zurückgegeben. Die Analyse kann unvollständig sein. Stellen Sie sicher, dass das Bild Abmessungen zwischen 128x128 und 2Mpx hat.	1 つ以上のアルゴリズムがエラーを返しました。分析が不完全である可能性があります。画像のサイズが 128x128 ～ 2Mpx であることを確認してください。	Egy vagy több algoritmus hibát adott vissza. Az elemzés hiányos lehet. Győződjön meg arról, hogy a kép mérete 128x128 és 2Mpx között van.	Um ou mais algoritmos retornaram erros. A análise pode estar incompleta. Certifique-se de que a imagem tenha dimensões entre 128x128 e 2Mpx.	Jedan ili više algoritama vratilo je pogreške. Analiza može biti nepotpuna. Provjerite ima li slika dimenzije između 128x128 i 2Mpx.	Eden ali več algoritmov je vrnilo napake. Analiza je morda nepopolna. Prepričajte se, da ima slika dimenzije med 128x128 in 2Mpx.	Jedan ili više algoritama vratilo je pogreške. Analiza može biti nepotpuna. Provjerite ima li slika dimenzije između 128x128 i 2Mpx.
synthetic_image_detection_not_found	No detection found	Aucune détection	No se encontró ninguna detección	Δεν βρέθηκε ανίχνευση	Nessun rilevamento trovato	لم يتم العثور على كشف	Keine Erkennung gefunden	検出が見つかりませんでした	Nincs észlelés	Nenhuma detecção encontrada	Nije pronađena detekcija.	Zaznavanja ni bilo.	Nije pronađena detekcija.
submit_button	Submit	Envoyer	Enviar	Υποβολή	Invia	إرسال	Einreichen	送信	Küldés	Enviar	Pošalji	Pošlji	Pošalji
button_localfile	Local file	Fichier local	Fichero local	Τοπικό αρχείο	Archivio locale	ملف محلي	Lokale Datei	ローカルファイル	Helyi fájl	Arquivo local	Lokalna datoteka	Lokalna datoteka	Lokalna datoteka
synthetic_image_detection_gauge_detection	Detection	Détection	Detección	Ανίχνευση	Rilevamento	الكشف	Erkennung	検出	Észlelés	Detecção	Detekcija	Zaznavanje	Detekcija
synthetic_image_detection_gauge_no_detection	No detection	Aucune détection	Sin detección	Χωρίς ανίχνευση	Nessun rilevamento	لا يوجد كشف	Keine Erkennung	検出されない	Nincs észlelés	Sem detecção	Nema detekcije	Brez zaznavanja	Nema detekcije
synthetic_image_detection_additional_results	View Detection for Submitted Image	Afficher la détection pour l'image téléchargée	Ver detección para la imagen enviada	Δείτε την ανίχνευση για την υποβληθείσα εικόνα	Visualizza rilevamento per l'immagine inviata	عرض الكشف عن الصورة المقدمة	Erkennung für übermitteltes Bild anzeigen	送信された画像のビュー検出	Észlelés megtekintése a beküldött képhez	Ver detecção para a imagem enviada	Prikaži detekciju za predanu sliku	Ogled zaznavanja za poslano sliko	Prikaži detekciju za predanu sliku
synthetic_image_detection_additional_results_hide	Hide Detection for Submitted Image	Masquer la détection pour l'image téléchargée	Ocultar la detección para la imagen enviada	Απόκρυψη ανίχνευσης για την υποβληθείσα εικόνα	Nascondi rilevamento per l'immagine inviata	إخفاء الكشف عن الصورة المقدمة	Erkennung für übermitteltes Bild ausblenden	送信された画像の検出を非表示にする	Észlelés elrejtése a beküldött képhez	Ocultar a detecção para a imagem enviada	Sakrij detekciju za predanu sliku	Skrij zaznavanje za poslano sliko	Sakrij detekciju za predanu sliku
synthetic_image_detection_ndd_additional_results	View Detection details for Similar Images	Afficher les détails de détection pour les images similaires	Ver detalles de detección para imágenes similares	Δείτε λεπτομέρειες ανίχνευσης για παρόμοιες εικόνες	Visualizza i dettagli del rilevamento per immagini simili	عرض تفاصيل الكشف عن الصور المشابهة	Erkennungsdetails für ähnliche Bilder anzeigen	類似画像の検出の詳細を表示	Észlelési részletek megtekintése a hasonló képekhez	Ver detalhes de detecção para imagens similares	Prikaži detalje detekcije za slične slike	Ogled podrobnosti zaznavanja za podobne slike	Prikaži detalje detekcije za slične slike
synthetic_image_detection_ndd_additional_results_hide	Hide detection details for similar images	Masquer les détails de détection pour des images similaires	Ocultar detalles de detección para imágenes similares	Απόκρυψη λεπτομερειών ανίχνευσης για παρόμοιες εικόνες	Nascondi dettagli di rilevamento per immagini simili	إخفاء تفاصيل الكشف عن صور مماثلة	Erkennungsdetails für ähnliche Bilder ausblenden	類似画像の検出詳細を非表示にする	Észlelési részletek elrejtése a hasonló képekhez	Ocultar detalhes de detecção para imagens similares	Sakrij detalje detekcije za slične slike	Skrij podrobnosti zaznavanja za podobne slike	Sakrij detalje detekcije za slične slike
synthetic_image_detection_rating	Explanation: The veraAI detector of the verification plugin finds 	Explication : Le détecteur veraAI du plugin de vérification a trouvé 	Explicación: El detector veraAI del plugin InVID-WeVerify encontro 	Εξήγηση: Βρίσκει ο ανιχνευτής veraAI της προσθήκης InVID-WeVerify 	Spiegazione: I rilevatore veraAI del plugin InVID-WeVerify trova 	توضيح: تم العثور على كاشف veraAI الخاص بالبرنامج المساعد InVID-WeVerifyتفسي:	Erklärung: Der veraAI-Detektor des InVID-WeVerify-Plugins hat 	説明: 検証プラグインの veraAI 検出ツールは次のことを検出しました。	Magyarázat: A verAI detektor a hitelesítő pluginban	Explicação:  O detector veraAI do plugin InVID-WeVerify encontrou 	Objašnjenje: VeraAI detektor dodatka za provjeru pronalazi 	Pojasnilo: Detektor veraAI vtičnika za preverjanje najde 	Objašnjenje: VeraAI detektor dodatka za provjeru pronalazi 
synthetic_image_detection_rating_4	very strong evidence suggesting that this image is synthetic	de très fortes preuves suggérant que cette image est synthétique	muy fuertes evidencias sugiriendo que esta imagen es sintética	πολύ δυνατές ενδείξεις που υποδεικνύουν ότι αυτή η εικόνα είναι συνθετική	prove molto forti che suggeriscono che questa immagine è sintetica	دلائل قوية جدا تشير إلى أن هذه الصورة اصطناعية	sehr starke Hinweise darauf gefunden, dass dieses bild synthetisch ist	この画像が合成であることを示唆する非常に強力な証拠があります	nagyon erős bizonyítékot talált arra, hogy ez a kép szintetikus	evidências muito fortes sugerindo que esta imagem é sintética	vrlo jake dokaze koji upućuju na to da je ova slika sintetička.	zelo močne dokaze, ki kažejo, da je ta slika sintetična.	vrlo jake dokaze koji upućuju na to da je ova slika sintetička.
synthetic_image_detection_rating_3	strong evidence suggesting that this image is synthetic	des preuves solides suggérant que cette image est synthétique	fuertes evidencias sugiriendo que esta imagen es sintética	δυνατά ενδείξεις που υποδεικνύουν ότι αυτή η εικόνα είναι συνθετική	forti evidenze che suggeriscono che questa immagine è sintética	دلائل قوية تشير إلى أن هذه الصورة اصطناعية	starke Hinweise darauf gefunden, dass dieses bild synthetisch ist	この画像が合成であることを示唆する強力な証拠があります	erős bizonyítékot talál arra, hogy ez a kép szintetikus	evidências fortes sugerindo que esta imagem é sintética	jake dokaze koji upućuju na to da je ova slika sintetička.	močne dokaze, ki kažejo, da je ta slika sintetična.	jake dokaze koji upućuju na to da je ova slika sintetička.
synthetic_image_detection_rating_2	moderate evidence (suspicious but non conclusive) suggesting that this image could be synthetic. The absence of detection does not guarantee the image is not post-edited.	preuves modérées (suspectes mais non concluantes) suggérant que cette image pourrait être synthétique. L'absence de détection ne garantit pas que l'image n'a pas été post-éditée.	evidencia moderada (sospechosa pero no concluyente) que sugiere que esta imagen pueda ser sintética. La ausencia de detección no garantiza que la imagen no haya sido editada posteriormente.	μέτρια στοιχεία (ύποπτα μη αλλά πειστικά) που υποδεικνύουν ότι αυτή η εικόνα είναι συνθετική. Η απουσία ανίχνευσης δεν εγγυάται ότι η εικόνα δεν έχει επεξεργαστεί μετά.	evidenze moderate (sospette ma non conclusive) che suggeriscono che questa immagine potrebbe essere sintetica. L'assenza di rilevamento non garantisce che l'immagine non sia stata post-editata.	أدلة معتدلة (مشبوهة ولكنها غير قاطعة) تشير إلى أن هذه الصورة يمكن أن تكون اصطناعية. لا يضمن عدم الكشف أن الصورة لم تكن محرفة بعد ذلك.	moderate (verdächtig, aber nicht schlüssig) Hinweise darauf gefunden, dass dieses bild synthetisch sein könnte. Das Fehlen einer Erkennung garantiert nicht, dass das Bild nicht nachbearbeitet wurde.	この画像が合成である可能性を示唆する中程度の証拠があります (疑わしいが決定的ではない)。検出されないことは、画像が編集されていないことを保証するものではありません。	mérsékelt bizonyítékot (gyanús, de nem meggyőző) talál arra, hogy ez a kép szintetikus lehet. Az észlelés hiánya nem garantálja, hogy a kép nincs utólag szerkesztve.	evidência moderada (suspeita, mas não conclusiva) sugerindo que esta imagem possa ser sintética. A ausência de detecção não garante que a imagem não tenha sido pós-editada.	umjerene dokaze (sumnjivo, ali ne i konačno) koji upućuju na to da bi ova slika mogla biti sintetička. Odsutnost detekcije ne jamči da slika nije naknadno uređena.	zmerne dokaze (sumljive, a ne dokončne), ki kažejo, da bi ta slika lahko bila sintetična. Odsotnost zaznave ne zagotavlja, da slika ni bila naknadno urejena.	umjerene dokaze (sumnjivo, ali ne i konačno) koji upućuju na to da bi ova slika mogla biti sintetička. Odsutnost detekcije ne jamči da slika nije naknadno uređena.
synthetic_image_detection_rating_1	weak evidence (non conclusive) suggesting that this image could be synthetic. The absence of detection does not guarantee the image is not post-edited.	preuves faibles (non concluantes) suggérant que cette image pourrait être synthétique. L'absence de détection ne garantit pas que l'image n'a pas été post-éditée.	evidencia débil (no concluyente) que sugiere que esta imagen pueda ser sintética. La ausencia de detección no garantiza que la imagen no haya sido editada posteriormente.	αδύναμα στοιχεία (μη πειστικά) που υποδεικνύουν ότι αυτή η εικόνα είναι συνθετική. Η απουσία ανίχνευσης δεν εγγυάται ότι η εικόνα δεν έχει επεξεργαστεί μετά.	evidenze deboli (non conclusive) che suggeriscono che questa immagine potrebbe essere sintetica. L'assenza di rilevamento non garantisce che l'immagine non sia stata post-editata.	أدلة ضعيفة (غير قاطعة) تشير إلى أن هذه الصورة يمكن أن تكون اصطناعية. لا يضمن عدم الكشف أن الصورة لم تكن محرفة بعد ذلك.	schwache (nicht schlüssige) Hinweise darauf gefunden, dass dieses bild synthetisch sein könnte. Das Fehlen einer Erkennung garantiert nicht, dass das Bild nicht nachbearbeitet wurde.	この画像が合成である可能性を示唆する弱い証拠があります (決定的ではありません)。検出されないことは、画像が編集されていないことを保証するものではありません。	gyenge bizonyítékot (nem meggyőző) talál arra, hogy ez a kép szintetikus lehet. Az észlelés hiánya nem garantálja, hogy a kép nincs utólag szerkesztve.	evidência fraca (não conclusiva) que sugere que esta imagem possa ser sintética. A ausência de detecção não garante que a imagem não tenha sido editada posteriormente.	slabe dokaze (nekonkluzivno) koji upućuju na to da bi ova slika mogla biti sintetička. Odsutnost detekcije ne jamči da slika nije naknadno uređena.	šibke dokaze (ne dokončne), ki kažejo, da bi ta slika lahko bila sintetična. Odsotnost zaznave ne zagotavlja, da slika ni bila naknadno urejena.	slabe dokaze (nekonkluzivno) koji upućuju na to da bi ova slika mogla biti sintetička. Odsutnost detekcije ne jamči da slika nije naknadno uređena.
synthetic_image_detection_button_copy_text_1	Copy text	Copier le texte	Copiar texto	Αντιγραφή κειμένου	Copia testo	نسخ النص	Text kopieren	テキストをコピーする	Szöveg másolása	Copiar texto	Kopiraj tekst	Kopiraj besedilo	Kopiraj tekst
synthetic_image_detection_button_copy_text_2	Text copied!	Texte copié !	¡Texto copiado!	Κείμενο αντιγράφηκε!	Testo copiato!	تم نسخ النص!	Text kopiert!	テキストがコピーされました!	Szöveg másolva!	Texto copiado!	Tekst kopiran!	Besedilo kopirano!	Tekst kopiran!
synthetic_image_detection_alert_label_4	Very strong evidence	Fortes preuves	Pruebas muy sólidas	Πολύ ισχυρά ενδείξεις	Forti evidenze	أدلة قوية جدًا	Sehr starke Beweise	非常に強力な証拠	Nagyon erős bizonyíték	Evidências muito sólidas	Vrlo jaki dokazi	Zelo močni dokazi	Vrlo jaki dokazi
synthetic_image_detection_alert_label_3	Strong evidence	Preuves solides	Evidencia sólida	Ισχυρές ενδείξεις	Evidenza forte	أدلة قوية	Starke Beweise	強力な証拠	Erős bizonyíték	Evidência sólida	Jaki dokazi	Močni dokazi	Jaki dokazi
synthetic_image_detection_alert_label_2	Moderate evidence (suspicious but non conclusive)	Preuves modérées (suspectes mais non concluantes)	Evidencia moderada (sospechosa pero no concluyente)	Μέτριες ενδείξεις (ύποπτες αλλά μη συμπερασματικές)	Evidenza moderata (sospetta ma non conclusiva)	أدلة معتدلة (مشبوهة ولكن غير نهائية)	Moderate Beweise (verdächtig, aber nicht abschließend)	中程度の証拠（疑わしいが決定的ではない）	Mérsékelt bizonyíték (gyanús, de nem meggyőző)	Evidência moderada (suspeita, mas não conclusiva)	Umjereni dokazi (sumnjivo, ali ne i konačno)	Zmerni dokazi (sumljivi, a ne dokončni)	Umjereni dokazi (sumnjivo, ali ne i konačno)
synthetic_image_detection_alert_label_1	Weak evidence (non conclusive)	Preuves faibles (non concluantes)	Evidencia débil (no concluyente)	Αδύναμες ενδείξεις (μη συμπερασματικές)	Evidenza debole (non conclusiva)	أدلة ضعيفة (غير نهائية)	Schwache Beweise (nicht abschließend)	弱い証拠（決定的ではない）	Gyenge bizonyíték (nem meggyőző)	Evidência fraca (não conclusiva)	Slabi dokazi (nekonkluzivno)	Šibki dokazi (ne dokončni)	Slabi dokazi (nekonkluzivno)
synthetic_image_detection_probability_text	Probability:	Probabilité :	Probabilidad:	Πιθανότητα:	Probabilità:	احتمالية:	Wahrscheinlichkeit:	確率:	Valószínűség:	Probabilidade:	Vjerojatnost:	Verjetnost:	Vjerojatnost:
synthetic_image_detection_generic_detection_text	AI-Generated image detected	Image générée par IA détectée	Imagen generada por IA detectada	Εντοπίστηκε εικόνα που δημιουργήθηκε από τεχνητή νοημοσύνη	Immagine generata da IA rilevata	تم اكتشاف صورة تم إنشاؤها بواسطة الذكاء الاصطناعي	AI-generiertes Bild erkannt	AI生成画像を検出	AI-generált kép észlelve	Imagem gerada por IA detectada	Detektirana je slika generirana AI-jem	Zaznana slika, ustvarjena z umetno inteligenco	Detektirana je slika generirana AI-jem
synthetic_image_detection_generic_inconclusive_text	Inconclusive results	Résultats inconclusifs	Resultados inconclusivos	Resultados inconcluyentes	Risultati inconcludenti	نتائج غير حاسمة	Unverbindliche Ergebnisse	決定的ではない結果	Nem meggyőző eredmények	Resultados inconclusivos	Neuvjerljivi rezultati	Neprepričljivi rezultati	Neuvjerljivi rezultati
synthetic_image_detection_generic_detection_text_ndd	Similar images detected	Images similaires détectées	Imágenes similares detectadas	Εντοπίστηκαν παρόμοιες εικόνες	Immagini simili rilevate	تم اكتشاف صور مشابهة	Ähnliche Bilder erkannt	類似した画像が検出されました	Hasonló képek észlelve	Imagens similares detectadas	Detektirane su slične slike	Zaznane podobne slike	Detektirane su slične slike
synthetic_image_detection_c2pa_generic_detection_text	C2PA indicates GenAI creation	C2PA indique une création GenAI	C2PA indica una creación con GenAI	Το C2PA υποδεικνύει δημιουργία με GenAI	Il C2PA indica una creazione con GenAI	يشير C2PA إلى إنشاء باستخدام GenAI	C2PA weist auf eine GenAI-Erstellung hin	C2PAはGenAIによる生成を示しています	A C2PA GenAI által történt létrehozást jelez	O C2PA indica uma criação com GenAI	C2PA ukazuje na GenAI kreaciju	C2PA označuje ustvarjanje z GenAI	C2PA ukazuje na GenAI kreaciju
synthetic_image_detection_scale_explanation_link	What do the gauge colors mean?	Que signifient les couleurs de la jauge ?	¿Qué significan los colores del indicador?	Τι σημαίνουν τα χρώματα του μετρητή;	Cosa significano i colori del indicatore?	ماذا تعني ألوان العداد؟	Was bedeuten die Farben der Anzeige?	ゲージの色は何を意味しますか?	Mit jelentenek a színek?	O que significam as cores do indicador?	Što znače boje mjerača?	Kaj pomenijo barve merilnika?	Što znače boje mjerača?
synthetic_image_detection_scale_modal_explanation_title	What do the gauge colors mean?	Que signifient les couleurs de la jauge ?	¿Qué significan los colores del indicador?	Τι σημαίνουν τα colores del indicador?	Cosa significano i colori del indicatore?	ماذا تعني ألوان العداد؟	Was bedeuten die Farben der Anzeige?	ゲージの色は何を意味しますか?	Mit jelentenek a színek?	O que significam as cores do indicador?	Što znače boje mjerača?	Kaj pomenijo barve merilnika?	Što znače boje mjerača?
gauge_scale_modal_explanation_rating_1	<50% - Weak evidence (non-conclusive)	<50 % - Preuves faibles (non concluantes)	<50 % - Evidencia débil (no concluyente)	<50 % - Αδύναμες ενδείξεις (μη συμπερασματικές)	<50 % - Evidenza debole (non conclusiva)	<50 % - أدلة ضعيفة (غير نهائية)	<50 % - Schwache Beweise (nicht abschließend)	<50% - 弱い証拠 (決定的ではない)	<50% - Gyenge bizonyíték (nem meggyőző)	<50% - Evidência fraca (não conclusiva)	<50% - Slabi dokazi (nekonkluzivno)	<50% - Šibki dokazi (ne dokončni)	<50% - Slabi dokazi (nekonkluzivno)
